city_name,locode,region_name,population,fcm_dependency_pct,fcm_dependency_band,poverty_rate,median_household_income,city_id,country_code,disability_prevalence,electricity_access_rate,employment_agriculture_forestry,employment_construction,employment_electricity_gas,employment_in_transport_and_logistics,employment_manufacturing,employment_mining,employment_water_waste,fixed_internet_household_share,home_ownership,indigenous_identification_rate,literacy_rate,mean_years_schooling,public_transport_share,renter_share,unemployment_rate,total_income_2023_mclp,ipp_percapita_2023_mclp,ipp_share_total_pct_2023,total_income_pc_clp,staff_planta_2023,staff_contrata_2023,total_staff_2023,professionalization_pct_2023,staff_per_1000_2023,prof_staff_abs,p_fcm,p_ipppc,p_ippsh,cofinance_score,p_prof,p_profstaff,p_totinc,anchor_score,composite_score
Carahue,CL CAR,La Araucanía,24941.0,90.33,very high (dependent),42.31,640834.0,635ukenbdukxxzu6tdyw,CL,16.83,96.93,18.35,10.89,0.76,6.56,6.02,0.87,1.4,20.61,74.29,43.4,92.48,8.39,30.19,10.19,12.74,9844162.0,32.32,8.38,394698.0,62.0,47.0,109.0,33.94,4.37,36.9946,4.777070063694268,0.641025641025641,7.532051282051282,4.3,32.323232323232325,49.158249158249156,48.717948717948715,43.4,23.8
Teodoro Schmidt,CL TEO,La Araucanía,15633.0,90.18,very high (dependent),47.37,659115.0,635fpgq0e8en3zf4m02d,CL,16.75,97.42,31.4,8.51,0.87,4.63,5.03,0.45,1.78,15.61,76.69,54.49,93.2,8.29,14.71,8.83,9.14,6941020.0,33.75,7.66,443998.0,43.0,30.0,73.0,35.62,4.67,26.002599999999997,5.095541401273891,0.9615384615384616,5.769230769230769,3.9,38.72053872053872,27.27272727272727,32.69230769230769,32.9,18.4
Palena,CL PAL,Los Lagos,1896.0,90.09,very high (dependent),,,62hz3zxp5wdvxgk020jj,CL,8.14,97.22,11.94,10.66,2.46,4.33,4.57,0.23,0.7,31.52,60.94,17.54,95.57,9.3,,19.82,,2789407.0,117.8,7.7,1471206.0,21.0,11.0,32.0,62.5,16.88,20.0,5.414012738853501,59.61538461538461,6.089743589743589,23.7,95.95959595959596,13.131313131313133,1.6025641025641024,36.9,30.3
Curaco de Vélez,CL CDV,Los Lagos,3662.0,90.06,very high (dependent),29.46,854444.0,627wtst6rvr6hru8r0t2,CL,13.0,99.72,24.48,6.75,0.65,6.1,14.0,0.14,0.72,15.64,79.83,29.27,95.18,9.0,21.52,10.4,10.17,6796915.0,66.66,4.04,1856066.0,39.0,11.0,50.0,50.0,13.65,25.0,5.732484076433124,19.55128205128205,1.282051282051282,8.9,83.67003367003367,24.242424242424242,31.08974358974359,46.3,27.6
Lonquimay,CL LQY,La Araucanía,10147.0,89.63,very high (dependent),36.94,652436.0,63jm4gvjxxktz18fm3je,CL,10.45,96.84,16.26,11.42,0.73,3.89,4.37,1.31,1.38,5.22,79.8,57.38,92.35,8.2,2.56,10.23,13.5,7120071.0,46.9,7.31,701692.0,26.0,23.0,49.0,38.78,4.83,19.002200000000002,6.0509554140127335,7.6923076923076925,5.448717948717949,6.4,50.67340067340067,12.121212121212121,34.61538461538461,32.5,19.4
Curarrehue,CL CRE,La Araucanía,7729.0,89.34,very high (dependent),35.47,782579.0,63j0hnfwbq3gyu27trxf,CL,13.68,97.99,13.54,17.68,1.05,3.59,7.49,0.7,0.74,14.45,70.47,64.96,93.02,8.36,25.65,11.94,7.3,4044995.0,44.21,8.59,523353.0,40.0,4.0,44.0,43.18,5.69,18.999200000000002,6.369426751592357,4.967948717948718,8.012820512820513,6.5,67.34006734006735,10.774410774410773,6.730769230769231,28.3,17.4
Lumaco,CL LUM,La Araucanía,9248.0,89.31,very high (dependent),44.13,533767.0,63hn1y19h3svs2cu3mj4,CL,16.06,93.89,35.78,6.36,0.49,4.34,4.25,0.61,1.05,3.92,74.65,50.41,89.25,7.65,6.32,10.47,13.91,4916695.0,42.75,8.65,531650.0,45.0,20.0,65.0,33.85,7.03,22.0025,6.687898089171966,3.205128205128205,8.333333333333332,6.1,31.64983164983165,16.835016835016837,14.102564102564102,20.9,13.5
Futaleufú,CL FFU,Los Lagos,3050.0,89.16,very high (dependent),,,62kf37q010z5p7uszsuf,CL,7.87,97.44,10.11,13.05,1.0,3.95,5.29,0.33,1.0,38.47,58.86,15.48,95.44,9.84,,28.38,,4385694.0,105.65,6.96,1437932.0,17.0,12.0,29.0,44.83,9.51,13.0007,7.00636942675159,50.96153846153846,4.807692307692308,20.9,73.06397306397307,3.0303030303030303,9.294871794871796,28.5,24.7
Empedrado,CL EMP,Maule,3986.0,88.9,very high (dependent),27.45,750666.0,63st7hu0jg8vwx7brt44,CL,16.46,99.31,22.6,8.02,0.14,4.08,17.55,1.87,1.8,8.14,69.58,3.24,89.65,8.17,12.3,15.65,11.91,3901530.0,78.08,8.38,978808.0,25.0,9.0,34.0,50.0,8.53,17.0,7.3248407643312134,28.846153846153843,7.532051282051282,14.6,83.67003367003367,7.744107744107744,5.448717948717949,32.3,23.4
Putre,CL PUT,Arica y Parinacota,1368.0,88.7,very high (dependent),35.95,662922.0,6kwxnv0zmr5fnfv6fmej,CL,15.09,94.0,21.69,9.54,0.46,10.0,4.92,1.54,1.69,5.66,34.73,86.67,93.74,8.69,0.0,27.46,0.88,3838124.0,138.15,9.21,2805646.0,14.0,11.0,25.0,40.0,18.27,10.0,7.643312101910823,69.87179487179486,10.576923076923077,29.4,56.22895622895623,1.3468013468013467,5.128205128205128,20.9,25.2
Pelluhue,CL PLH,Maule,8562.0,88.61,very high (dependent),43.22,578639.0,63s7ey88pgy1f117kc03,CL,14.86,98.96,21.9,9.16,0.57,2.75,7.15,0.57,0.48,20.26,72.4,4.58,93.1,9.3,17.32,14.36,11.42,10000391.0,117.08,9.79,1167997.0,53.0,37.0,90.0,71.11,10.51,63.998999999999995,7.961783439490446,59.294871794871796,11.538461538461538,26.3,97.97979797979798,72.72727272727273,50.0,73.6,49.9
Corral,CL CRR,Los Ríos,5493.0,88.47,very high (dependent),12.53,813000.0,62gud2hq4rrsvur4btdn,CL,15.25,98.39,21.74,9.64,0.28,11.39,9.03,0.57,1.23,15.21,80.48,28.25,94.42,9.01,33.92,7.09,3.71,4166117.0,64.2,8.37,758441.0,28.0,6.0,34.0,44.12,6.19,15.0008,8.280254777070056,16.666666666666664,7.051282051282051,10.7,71.04377104377105,5.05050505050505,7.6923076923076925,27.9,19.3
Purén,CL PUR,La Araucanía,12161.0,88.44,very high (dependent),26.74,692222.0,63hpc8n6ft2f754nqw59,CL,14.83,97.9,19.22,9.23,0.63,5.76,6.14,1.12,0.81,29.11,73.06,29.85,92.12,8.5,13.74,12.58,12.23,5581761.0,43.65,9.48,458989.0,56.0,46.0,102.0,59.8,8.39,60.995999999999995,8.59872611464968,4.487179487179487,11.057692307692307,8.0,93.93939393939394,72.05387205387206,22.435897435897438,62.8,35.4
Cholchol,CL CHL,La Araucanía,13138.0,88.11,very high (dependent),46.07,623932.0,63hht04hqh53wqcjjkbz,CL,14.44,96.72,19.3,12.27,1.26,4.28,6.19,0.69,1.01,19.44,78.36,76.63,91.14,8.34,15.35,8.42,10.73,5973991.0,43.3,9.12,454711.0,40.0,22.0,62.0,38.71,4.72,24.0002,8.917197452229303,4.166666666666666,10.256410256410255,7.8,50.16835016835017,20.875420875420875,26.282051282051285,32.4,20.1
Treguaco,CL TRE,Ñuble,6124.0,87.86,very high (dependent),31.04,756294.0,63s2f86zhxt9fccepm8e,CL,16.04,99.27,26.68,9.56,1.1,3.74,13.59,0.81,1.06,28.47,76.88,3.51,91.31,8.71,8.96,10.62,2.27,4432665.0,70.22,9.11,723819.0,33.0,41.0,74.0,32.43,12.08,23.998199999999997,9.235668789808912,23.076923076923077,9.935897435897436,14.1,24.915824915824917,20.2020202020202,11.217948717948719,18.8,16.4
Paredones,CL PAR,Libertador General Bernardo O'Higgins,7228.0,87.33,very high (dependent),29.34,676167.0,63ufexgsw73ceuhhe0d5,CL,17.47,98.09,30.96,11.42,0.68,2.96,5.16,1.65,1.18,8.31,71.33,3.31,88.86,8.32,7.82,8.33,16.25,5380919.0,86.5,10.1,744455.0,34.0,30.0,64.0,45.31,8.85,28.9984,9.554140127388536,38.141025641025635,12.82051282051282,20.2,74.74747474747475,32.323232323232325,19.871794871794872,42.3,31.2
El Tabo,CL ELT,Valparaíso,16222.0,87.31,very high (dependent),12.31,898511.0,66j1e0sgcx7n29vvjfx5,CL,15.52,99.61,1.1,12.24,0.96,6.57,6.59,0.99,0.72,44.35,66.5,7.35,96.58,10.29,17.75,14.29,5.47,18360418.0,143.28,11.71,1131822.0,92.0,30.0,122.0,36.07,7.52,44.0054,9.872611464968145,72.11538461538461,16.98717948717949,33.0,40.4040404040404,59.59595959595959,72.11538461538461,57.4,45.2
Cartagena,CL CGN,Valparaíso,24544.0,87.27,very high (dependent),20.03,963935.0,66j1nr37mv3t5ev5fnt5,CL,16.39,99.62,3.99,10.68,0.81,12.7,7.13,1.27,1.18,45.22,61.97,7.46,95.31,9.43,38.53,14.56,9.98,17835137.0,72.21,10.79,726660.0,101.0,81.0,182.0,36.26,7.42,65.9932,10.191082802547768,23.717948717948715,13.942307692307693,16.0,41.07744107744108,74.41077441077442,70.83333333333334,62.1,39.0
Galvarino,CL GAL,La Araucanía,12709.0,86.93,very high (dependent),41.14,669778.0,63hjr8dwz63w43q4cx6g,CL,16.02,95.09,29.87,9.16,0.72,4.65,5.12,0.5,0.88,13.46,80.27,71.65,90.97,8.03,17.91,5.87,8.51,7085992.0,49.77,8.84,557557.0,43.0,28.0,71.0,29.58,5.59,21.0018,10.509554140127392,8.333333333333332,8.653846153846153,9.2,12.121212121212121,16.161616161616163,34.294871794871796,20.9,15.0
Quillón,CL QIN,Ñuble,19116.0,86.65,very high (dependent),43.97,593348.0,63kqw1mezd3frdhxghtz,CL,16.49,99.18,15.97,12.56,0.88,5.57,10.39,2.08,1.27,31.38,70.29,4.34,93.09,9.09,15.29,12.39,11.43,12648863.0,78.29,11.87,661690.0,60.0,76.0,136.0,29.41,7.11,39.997600000000006,10.828025477707001,29.807692307692307,18.269230769230766,19.6,11.784511784511785,53.36700336700336,60.256410256410255,41.8,30.7
Cochrane,CL COC,Aysén del General Carlos Ibáñez del Campo,3378.0,86.28,very high (dependent),1.16,1351982.0,4rs68dw4yvefkz93jkx0,CL,10.81,98.27,10.5,9.68,1.35,4.63,3.81,0.18,0.65,38.33,58.82,24.34,94.22,9.51,0.0,27.43,0.0,3730783.0,94.8,9.48,1104435.0,11.0,8.0,19.0,73.68,5.62,13.999200000000002,11.146496815286625,44.55128205128205,11.057692307692307,22.3,98.31649831649831,3.3670033670033668,4.166666666666666,35.3,28.8
Chanco,CL CHA,Maule,9436.0,86.23,very high (dependent),42.59,637263.0,63skyt1yfwum4503fee7,CL,14.35,99.04,32.27,6.32,0.57,3.12,5.39,2.49,0.69,19.91,73.66,3.51,91.51,8.36,7.5,9.78,21.0,5224304.0,60.75,10.79,553657.0,38.0,29.0,67.0,37.31,7.1,24.997700000000002,11.464968152866234,14.743589743589745,13.942307692307693,13.4,45.11784511784512,22.55892255892256,17.94871794871795,28.5,21.0
Combarbalá,CL CBB,Coquimbo,12931.0,86.07,very high (dependent),28.62,798655.0,66mwc1utfpr4vfk5qhv6,CL,16.63,97.44,13.84,10.66,0.59,4.0,4.33,15.08,1.87,21.76,68.78,17.53,92.9,8.73,15.26,12.97,14.78,6525286.0,52.54,11.17,504623.0,31.0,28.0,59.0,32.2,4.56,18.998,11.783439490445858,9.615384615384617,14.743589743589745,12.0,23.232323232323232,10.437710437710438,29.48717948717949,21.1,16.6
Cañete,CL CTE,Biobío,34566.0,85.99,very high (dependent),36.49,781457.0,637be97c7ttcws2tq6bc,CL,15.06,98.49,13.1,9.76,1.18,5.38,6.14,1.27,0.77,30.95,75.3,37.16,93.43,8.85,15.75,12.79,10.66,12961497.0,39.13,11.28,374978.0,52.0,59.0,111.0,26.13,3.21,29.004299999999997,12.101910828025481,2.2435897435897436,15.064102564102564,9.8,4.377104377104377,34.00673400673401,61.858974358974365,33.4,21.6
Florida,CL FLO,Biobío,12924.0,85.91,very high (dependent),29.77,773949.0,63kq928qrcrenz8jxd9y,CL,15.33,99.19,16.65,12.39,1.13,7.59,7.31,1.47,0.89,20.3,74.11,5.04,92.19,9.15,31.52,10.52,11.38,5879450.0,56.29,11.36,454925.0,43.0,24.0,67.0,44.78,5.18,30.0026,12.42038216560509,12.5,15.544871794871796,13.5,72.72727272727273,35.69023569023569,25.320512820512818,44.6,29.0
Primavera,CL PRI,Magallanes y de la Antártica Chilena,431.0,85.86,very high (dependent),0.0,1297239.0,4qwew2u506sn83bqkzx9,CL,6.25,98.31,24.31,5.1,1.57,3.14,5.88,3.53,0.0,21.55,36.46,26.91,97.12,9.44,0.0,28.18,0.0,2413136.0,409.88,11.53,5598923.0,17.0,5.0,22.0,54.55,51.04,12.001,12.738853503184714,92.94871794871796,16.025641025641026,40.6,90.57239057239057,2.356902356902357,0.641025641025641,31.2,35.9
Lebu,CL LEB,Biobío,25057.0,85.75,very high (dependent),32.83,819235.0,6379tmj41zqqu2p8v3qe,CL,16.08,99.16,26.35,5.71,0.65,4.22,5.03,1.14,0.7,57.29,76.87,27.75,93.79,9.04,20.1,12.17,8.23,12152938.0,40.18,8.98,485012.0,52.0,57.0,109.0,39.45,4.35,43.0005,13.057324840764323,2.564102564102564,8.974358974358974,8.2,52.861952861952865,57.57575757575758,57.692307692307686,56.0,32.1
Ercilla,CL ERC,La Araucanía,7722.0,85.74,very high (dependent),41.07,715742.0,63hx3e4pw0r5yfyjyp2w,CL,14.81,93.45,26.06,6.18,1.02,4.61,3.97,1.11,1.15,23.25,72.52,56.02,90.88,8.16,10.14,8.86,13.14,5145134.0,62.68,10.24,666296.0,39.0,18.0,57.0,36.84,7.38,20.998800000000003,13.375796178343947,15.384615384615385,13.141025641025642,14.0,42.592592592592595,14.814814814814813,16.98717948717949,24.8,19.4
San Ignacio,CL SIN,Ñuble,17403.0,85.71,very high (dependent),35.39,714502.0,63ky8btvc3fccdcr0vx0,CL,17.92,99.3,31.98,11.41,1.01,5.02,5.34,1.19,1.1,19.66,69.92,3.03,92.0,8.64,24.56,10.59,6.39,6606724.0,46.64,11.73,379631.0,,,,,,,13.69426751592357,6.730769230769231,17.307692307692307,12.6,,,30.128205128205128,30.1,21.4
Antuco,CL ANT,Biobío,4362.0,85.44,very high (dependent),32.73,675300.0,63m78h8ny13r61f1zuxr,CL,15.39,99.35,8.48,15.33,3.32,3.05,6.72,10.38,1.02,21.96,73.98,6.5,94.85,9.33,8.63,11.61,10.3,5733250.0,154.69,11.66,1314363.0,19.0,27.0,46.0,39.13,10.55,17.9998,14.01273885350318,74.67948717948718,16.346153846153847,35.0,52.02020202020202,9.090909090909092,24.358974358974358,28.5,31.8
Cobquecura,CL CBQ,Ñuble,5477.0,85.41,very high (dependent),39.39,768750.0,63s61jqw3wnq8fqesd7r,CL,17.37,98.81,21.59,10.06,0.27,2.62,6.65,0.53,0.89,15.23,74.88,5.35,91.1,8.9,2.25,10.76,5.09,5337050.0,113.37,11.13,974448.0,,,,,,,14.331210191082803,56.41025641025641,14.423076923076922,28.4,,,19.230769230769234,19.2,23.8
Quirihue,CL QRH,Ñuble,11634.0,84.9,very high (dependent),23.39,802494.0,63s3v5rrbvc214ywjxb7,CL,18.63,99.22,22.14,7.46,0.68,5.1,6.38,0.89,0.58,41.33,70.9,3.81,92.89,8.99,18.62,15.51,8.66,5589828.0,56.73,12.42,480473.0,43.0,24.0,67.0,91.04,5.76,60.99680000000001,14.649681528662413,13.141025641025642,19.230769230769234,15.7,98.98989898989899,72.39057239057239,23.076923076923077,64.8,40.2
Río Ibáñez,CL RIB,Aysén del General Carlos Ibáñez del Campo,2691.0,84.87,very high (dependent),19.88,813861.0,4ru2we30wxhj70yd86fx,CL,13.11,98.45,19.75,9.52,0.28,4.58,6.84,0.42,1.41,25.75,59.87,32.6,94.36,9.28,3.64,18.93,8.38,3943232.0,151.17,10.39,1465341.0,20.0,15.0,35.0,51.43,13.01,18.0005,14.968152866242036,74.03846153846155,13.461538461538462,34.2,86.7003367003367,9.595959595959595,5.769230769230769,34.0,34.1
Queilén,CL QLN,Los Lagos,5675.0,84.37,very high (dependent),16.91,758111.0,627sjyrgkejk42uu1rwj,CL,13.61,98.16,32.63,9.78,0.76,5.18,10.18,0.13,0.8,17.89,79.66,50.97,93.86,8.48,4.19,11.09,9.02,,,,,24.0,12.0,36.0,33.33,6.34,11.9988,15.286624203821646,,,15.3,28.619528619528616,1.6835016835016834,,15.2,15.2
Chile Chico,CL CCH,Aysén del General Carlos Ibáñez del Campo,4864.0,84.28,very high (dependent),13.0,1171288.0,4rsmunpmmrwxeyjykxyj,CL,10.93,98.9,12.81,11.65,0.99,3.61,5.33,2.71,0.69,40.81,58.49,26.2,94.8,9.52,1.39,24.48,1.16,5094387.0,137.22,13.89,1047366.0,18.0,15.0,33.0,51.52,6.78,17.0016,15.605095541401269,69.55128205128204,22.115384615384613,35.8,87.20538720538721,8.585858585858585,16.346153846153847,37.4,36.6
Nueva Imperial,CL NIM,La Araucanía,33729.0,83.81,very high (dependent),38.62,741639.0,63h5e3x82yhxpyk8gbhq,CL,15.51,97.89,13.16,12.84,1.47,5.41,7.15,0.79,1.08,33.16,73.49,58.5,93.3,8.91,28.07,11.78,11.15,12165415.0,46.12,12.92,360681.0,103.0,49.0,152.0,43.42,4.51,65.9984,15.923566878980893,6.089743589743589,19.871794871794872,14.0,68.01346801346801,74.74747474747475,58.01282051282052,66.9,40.4
Los Alamos,CL LAL,Biobío,21765.0,83.6,very high (dependent),28.08,796667.0,637cdtxpd3p9r9gpyv4y,CL,12.24,98.04,17.19,9.14,0.61,5.28,8.46,1.9,0.81,43.35,76.86,26.96,93.53,8.72,26.75,9.27,9.65,10894394.0,42.97,9.02,500546.0,9.0,6.0,15.0,100.0,0.69,15.0,16.242038216560502,3.5256410256410255,9.455128205128204,9.7,99.83164983164983,4.713804713804714,54.807692307692314,53.1,31.4
Lota,CL LTA,Biobío,39930.0,83.33,very high (dependent),28.72,810000.0,63khb6wdq6cjwr4w7fkf,CL,17.01,99.8,6.33,11.82,1.21,5.17,12.51,3.19,0.82,70.5,75.55,11.5,94.19,9.44,40.81,9.92,17.28,20391252.0,44.71,9.97,510675.0,109.0,67.0,176.0,27.84,4.41,48.9984,16.719745222929944,5.448717948717949,12.5,11.6,8.080808080808081,64.64646464646465,75.96153846153845,49.6,30.6
Coihueco,CL COI,Ñuble,29760.0,83.33,very high (dependent),28.42,753333.0,63mp5ns5gepz70jq8t3x,CL,13.65,99.23,36.12,9.37,1.27,4.47,5.02,1.35,0.85,25.71,72.35,4.45,91.97,8.67,21.13,10.31,9.03,11225566.0,54.06,13.92,377203.0,64.0,22.0,86.0,38.37,2.89,32.9982,16.719745222929944,10.576923076923077,22.435897435897438,16.6,48.148148148148145,41.07744107744108,56.41025641025641,48.5,32.6
El Quisco,CL ELQ,Valparaíso,18896.0,83.1,very high (dependent),19.23,917133.0,66j1cscn6dj1nux4qstr,CL,13.44,99.65,1.36,11.3,1.21,5.5,6.74,0.77,0.73,51.91,58.44,8.46,96.74,10.62,20.8,21.12,2.13,20975477.0,175.89,15.59,1110049.0,97.0,102.0,199.0,27.14,10.53,54.00860000000001,17.19745222929936,79.48717948717949,26.602564102564102,41.1,6.7340067340067336,67.34006734006735,76.92307692307693,50.3,45.7
Los Sauces,CL LSA,La Araucanía,7334.0,83.0,very high (dependent),38.98,618917.0,63hpzmqvxuugw52pxjpy,CL,15.9,96.1,29.26,10.9,0.72,3.49,4.29,1.24,1.08,27.82,70.88,31.84,90.58,8.19,12.38,12.48,15.99,5018506.0,82.99,12.38,684280.0,32.0,20.0,52.0,28.85,7.09,15.002000000000002,17.515923566878982,33.97435897435898,18.91025641025641,23.5,9.764309764309765,5.723905723905724,15.705128205128204,10.4,17.0
