unit_id,unit_anchor,region,unit_size,sector,coordination_tier,n_comunas_sharing,n_action_archetypes,instrument_class,viable_anchor,actor_route,bundle_feasible
13,Caldera,Región de Atacama,4,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
13,Caldera,Región de Atacama,4,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
15,Lo Espejo,Región Metropolitana de Santiago,6,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
15,Lo Espejo,Región Metropolitana de Santiago,6,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
15,Lo Espejo,Región Metropolitana de Santiago,6,Transportation,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
15,Lo Espejo,Región Metropolitana de Santiago,6,Transportation,semi_coordinated,4,5,programmatic / blended,True,municipal applicant,True
15,Lo Espejo,Región Metropolitana de Santiago,6,Waste,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
15,Lo Espejo,Región Metropolitana de Santiago,6,Waste,semi_coordinated,4,7,programmatic / blended,True,municipal applicant,True
24,Puerto Montt,Región de Los Lagos,11,Waste,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
24,Puerto Montt,Región de Los Lagos,11,Waste,semi_coordinated,4,7,programmatic / blended,True,municipal applicant,True
25,San Carlos,Región de Ñuble,7,Transportation,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
25,San Carlos,Región de Ñuble,7,Transportation,semi_coordinated,4,5,programmatic / blended,True,municipal applicant,True
29,Chillán Viejo,Región de Ñuble,4,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
29,Chillán Viejo,Región de Ñuble,4,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
30,Castro,Región de Los Lagos,4,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
30,Castro,Región de Los Lagos,4,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
