city_name,locode,region_name,population,employment_agriculture_forestry,employment_mining,employment_manufacturing,public_transport_share,sal_StationaryEnergy,sal_Transportation,sal_Waste,sal_AFOLU,sal_IPPU
Paine,CL PNE,Metropolitana de Santiago,78495.0,18.83,1.2,11.06,16.52,1,1,1,1,1
Pelarco,CL PEL,Maule,9229.0,32.97,1.4,7.54,17.6,1,0,0,1,0
La Serena,CL LSC,Coquimbo,246835.0,2.54,12.64,4.84,34.86,1,1,1,0,1
Punta Arenas,CL PUQ,Magallanes y de la Antártica Chilena,130452.0,3.73,2.21,7.2,23.79,1,1,1,0,0
Rinconada,CL RIN,Valparaíso,11837.0,16.88,11.69,4.67,5.62,1,0,0,1,1
Buin,CL BUI,Metropolitana de Santiago,116687.0,8.92,1.84,10.5,31.25,1,1,1,0,1
Talcahuano,CL TAL,Biobío,145925.0,5.33,2.16,11.35,45.05,1,1,1,0,1
Renca,CL REN,Metropolitana de Santiago,143321.0,0.36,1.43,12.2,53.56,1,1,1,0,1
María Elena,CL MAE,Antofagasta,4815.0,0.14,26.66,5.19,9.88,1,0,0,0,1
Pudahuel,CL PUD,Metropolitana de Santiago,227540.0,0.62,1.31,8.43,54.48,1,1,1,0,0
Calama,CL CJC,Antofagasta,164641.0,0.39,26.74,5.01,25.5,1,1,1,0,1
Calera de Tango,CL CDT,Metropolitana de Santiago,25390.0,7.02,1.51,9.57,29.88,1,1,1,0,1
Pica,CL PIC,Tarapacá,6263.0,11.97,10.22,4.64,18.79,1,1,0,0,1
Machalí,CL MCI,Libertador General Bernardo O'Higgins,60791.0,3.12,18.3,5.66,18.91,1,1,1,0,1
Puchuncaví,CL PCI,Valparaíso,22443.0,2.93,3.67,6.41,27.24,1,1,1,0,1
Tierra Amarilla,CL TAM,Atacama,11769.0,15.39,30.05,3.61,13.07,1,0,0,0,1
San Joaquín,CL SJQ,Metropolitana de Santiago,94590.0,0.21,1.04,10.53,50.58,1,1,1,0,1
Pirque,CL PIR,Metropolitana de Santiago,28949.0,5.79,1.67,9.57,27.16,1,1,1,0,1
Mejillones,CL MJS,Antofagasta,14014.0,4.43,5.97,9.52,12.91,1,0,0,0,1
Macul,CL MAC,Metropolitana de Santiago,123241.0,0.24,1.45,6.68,51.58,1,1,1,0,0
Recoleta,CL REC,Metropolitana de Santiago,153131.0,0.28,1.0,9.77,60.0,1,1,1,0,1
Casablanca,CL CAS,Valparaíso,29658.0,9.63,1.21,14.28,16.22,1,1,1,0,1
Cerrillos,CL CER,Metropolitana de Santiago,83544.0,0.41,1.21,11.09,55.43,1,1,1,0,1
Sierra Gorda,CL SIG,Antofagasta,1458.0,0.44,17.4,3.98,5.51,1,0,0,0,1
Alhué,CL ALH,Metropolitana de Santiago,7696.0,21.79,22.0,3.42,1.95,1,0,0,1,1
Quilicura,CL QUI,Metropolitana de Santiago,205375.0,0.42,2.06,13.89,55.04,1,1,1,0,1
Antofagasta,CL ANF,Antofagasta,397136.0,0.47,16.45,6.42,42.72,1,1,1,0,1
Mostazal,CL MOS,Libertador General Bernardo O'Higgins,27331.0,16.49,2.59,10.45,15.97,1,1,1,1,1
Lampa,CL LAM,Metropolitana de Santiago,144684.0,3.55,2.64,13.32,24.83,1,1,1,0,1
Concepción,CL CCP,Biobío,225985.0,1.43,1.73,7.89,41.89,1,1,1,0,0
Puerto Varas,CL PVS,Los Lagos,52613.0,8.42,0.41,7.05,25.72,1,1,1,0,0
Pucón,CL PUC,La Araucanía,32211.0,3.59,0.63,6.8,16.69,1,1,1,0,0
Algarrobo,CL ALG,Valparaíso,16032.0,1.63,1.28,5.76,26.01,1,1,0,0,0
San Miguel,CL SMG,Metropolitana de Santiago,149102.0,0.24,1.61,7.72,58.47,1,1,1,0,0
Concón,CL CON,Valparaíso,48112.0,1.37,4.58,6.18,26.33,1,1,1,0,1
Colina,CL CLN,Metropolitana de Santiago,168128.0,2.77,3.55,7.27,28.78,1,1,1,0,1
Iquique,CL IQQ,Tarapacá,196709.0,1.19,9.54,4.46,31.5,1,1,1,0,1
Santo Domingo,CL RSD,Valparaíso,13149.0,10.51,1.09,5.25,12.34,1,0,0,0,0
Viña del Mar,CL KNA,Valparaíso,331684.0,0.51,2.21,5.9,51.42,1,1,1,0,0
Ñuñoa,CL NUN,Metropolitana de Santiago,239365.0,0.28,2.4,4.88,46.61,1,1,1,0,0
Huechuraba,CL HUE,Metropolitana de Santiago,101608.0,0.34,2.2,7.52,49.61,1,1,1,0,0
Santiago,CL SCL,Metropolitana de Santiago,425426.0,0.22,1.19,6.08,61.62,1,1,1,0,0
La Reina,CL REI,Metropolitana de Santiago,89091.0,0.46,2.24,4.89,33.92,1,1,1,0,0
Providencia,CL PRO,Metropolitana de Santiago,141714.0,0.35,2.57,3.83,39.94,1,1,1,0,1
Vitacura,CL VIT,Metropolitana de Santiago,85876.0,1.44,2.25,4.56,12.71,1,1,1,0,0
Lo Barnechea,CL LBA,Metropolitana de Santiago,112112.0,1.19,1.93,3.79,27.75,1,1,1,0,0
