unit_id,comuna,region,locode,anchor_score,cofinance_score,is_anchor,unit_anchor,unit_anchor_score,unit_size,unit_viable_anchor
29,San Ignacio,Región de Ñuble,CL SIN,30.1,12.6,False,Chillán Viejo,75.5,4,True
29,El Carmen,Región de Ñuble,CL ELC,21.9,31.7,False,Chillán Viejo,75.5,4,True
30,Castro,Región de Los Lagos,CL WCA,74.2,42.1,True,Castro,74.2,4,True
30,Chonchi,Región de Los Lagos,CL CHO,47.0,53.0,False,Castro,74.2,4,True
30,Dalcahue,Región de Los Lagos,CL DCH,37.5,25.6,False,Castro,74.2,4,True
30,Queilén,Región de Los Lagos,CL QLN,15.2,15.3,False,Castro,74.2,4,True
31,Lo Prado,Región Metropolitana de Santiago,CL LPR,73.9,9.1,True,Lo Prado,73.9,4,True
31,Quinta Normal,Región Metropolitana de Santiago,,,,False,Lo Prado,73.9,4,True
31,Cerro Navia,Región Metropolitana de Santiago,,,,False,Lo Prado,73.9,4,True
31,Estación Central,Región Metropolitana de Santiago,,,,False,Lo Prado,73.9,4,True
32,Pelluhue,Región del Maule,CL PLH,73.6,26.3,True,Pelluhue,73.6,13,True
32,Cauquenes,Región del Maule,CL CAU,50.4,30.3,False,Pelluhue,73.6,13,True
32,Chanco,Región del Maule,CL CHA,28.5,13.4,False,Pelluhue,73.6,13,True
32,Constitución,Región del Maule,CL CST,44.9,47.0,False,Pelluhue,73.6,13,True
32,Curepto,Región del Maule,CL CRT,46.9,26.2,False,Pelluhue,73.6,13,True
32,Empedrado,Región del Maule,CL EMP,32.3,14.6,False,Pelluhue,73.6,13,True
32,Hualañé,Región del Maule,CL HLE,34.4,50.1,False,Pelluhue,73.6,13,True
32,Licantén,Región del Maule,CL LIC,43.8,40.6,False,Pelluhue,73.6,13,True
32,Rauco,Región del Maule,CL RAU,36.5,42.5,False,Pelluhue,73.6,13,True
32,Teno,Región del Maule,CL TEN,50.7,66.4,False,Pelluhue,73.6,13,True
32,Vichuquén,Región del Maule,CL VCQ,36.8,85.5,False,Pelluhue,73.6,13,True
32,Parral,Región del Maule,CL PRL,53.4,38.1,False,Pelluhue,73.6,13,True
32,Retiro,Región del Maule,CL RET,36.3,30.0,False,Pelluhue,73.6,13,True
33,Quellón,Región de Los Lagos,CL PTE,73.2,37.9,True,Quellón,73.2,1,True
34,Algarrobo,Región de Valparaíso,CL ALG,73.1,95.4,True,Algarrobo,73.1,2,True
34,El Quisco,Región de Valparaíso,CL ELQ,50.3,41.1,False,Algarrobo,73.1,2,True
35,Peñalolén,Región Metropolitana de Santiago,CL PLN,72.9,68.9,True,Peñalolén,72.9,2,True
35,La Reina,Región Metropolitana de Santiago,CL REI,60.9,94.6,False,Peñalolén,72.9,2,True
36,Molina,Región del Maule,CL MOL,71.8,40.4,True,Molina,71.8,7,True
36,San Clemente,Región del Maule,CL SCT,69.5,38.5,False,Molina,71.8,7,True
36,Curicó,Región del Maule,CL CUR,56.9,69.0,False,Molina,71.8,7,True
36,Río Claro,Región del Maule,CL RCL,50.5,78.4,False,Molina,71.8,7,True
36,Sagrada Familia,Región del Maule,CL SAF,50.2,79.5,False,Molina,71.8,7,True
36,San Rafael,Región del Maule,CL SRA,25.2,50.2,False,Molina,71.8,7,True
36,Romeral,Región del Maule,CL ROM,50.0,78.8,False,Molina,71.8,7,True
37,Rengo,Región del Libertador Bernardo O'Higgins,CL RGO,70.2,58.8,True,Rengo,70.2,5,True
37,Malloa,Región del Libertador Bernardo O'Higgins,CL MAL,56.8,43.7,False,Rengo,70.2,5,True
37,San Fernando,Región del Libertador Bernardo O'Higgins,CL SFD,46.3,73.0,False,Rengo,70.2,5,True
37,Coinco,Región del Libertador Bernardo O'Higgins,CL COO,36.6,32.5,False,Rengo,70.2,5,True
37,Quinta de Tilcoco,Región del Libertador Bernardo O'Higgins,CL QDT,32.8,37.7,False,Rengo,70.2,5,True
38,Traiguén,Región de La Araucanía,CL TRA,69.6,21.2,True,Traiguén,69.6,6,True
38,Perquenco,Región de La Araucanía,CL PQC,36.3,28.1,False,Traiguén,69.6,6,True
38,Victoria,Región de La Araucanía,CL ZIC,35.2,34.6,False,Traiguén,69.6,6,True
38,Ercilla,Región de La Araucanía,CL ERC,24.8,14.0,False,Traiguén,69.6,6,True
38,Lumaco,Región de La Araucanía,CL LUM,20.9,6.1,False,Traiguén,69.6,6,True
38,Galvarino,Región de La Araucanía,CL GAL,20.9,9.2,False,Traiguén,69.6,6,True
39,Cabrero,Región del Bío-Bío,CL CAB,69.0,34.3,True,Cabrero,69.0,9,True
39,Los Angeles,Región del Bío-Bío,CL LSQ,63.3,65.7,False,Cabrero,69.0,9,True
39,Yumbel,Región del Bío-Bío,CL YUM,61.1,24.5,False,Cabrero,69.0,9,True
39,Mulchén,Región del Bío-Bío,CL MUL,45.2,39.8,False,Cabrero,69.0,9,True
39,Quilaco,Región del Bío-Bío,,,,False,Cabrero,69.0,9,True
39,Quilleco,Región del Bío-Bío,CL QLO,43.2,23.6,False,Cabrero,69.0,9,True
39,Santa Bárbara,Región del Bío-Bío,CL SBA,51.6,35.9,False,Cabrero,69.0,9,True
39,Tucapel,Región del Bío-Bío,CL TUC,38.4,39.3,False,Cabrero,69.0,9,True
39,Alto Biobío,Región del Bío-Bío,,,,False,Cabrero,69.0,9,True
40,Los Vilos,Región de Coquimbo,CL LOS,68.5,45.1,True,Los Vilos,68.5,5,True
40,Salamanca,Región de Coquimbo,CL SAL,49.0,74.1,False,Los Vilos,68.5,5,True
40,Illapel,Región de Coquimbo,CL ILL,47.4,32.0,False,Los Vilos,68.5,5,True
40,Canela,Región de Coquimbo,CL CAN,17.5,50.1,False,Los Vilos,68.5,5,True
40,Combarbalá,Región de Coquimbo,CL CBB,21.1,12.0,False,Los Vilos,68.5,5,True
41,Talca,Región del Maule,CL TLX,68.3,71.1,True,Talca,68.3,4,True
41,Pelarco,Región del Maule,CL PEL,43.0,83.2,False,Talca,68.3,4,True
41,Maule,Región del Maule,CL MAU,40.9,23.0,False,Talca,68.3,4,True
41,Pencahue,Región del Maule,CL PEN,22.0,59.1,False,Talca,68.3,4,True
42,Ovalle,Región de Coquimbo,CL OVL,67.3,50.7,True,Ovalle,67.3,4,True
42,Monte Patria,Región de Coquimbo,CL MTP,50.9,17.3,False,Ovalle,67.3,4,True
42,Río Hurtado,Región de Coquimbo,CL RHU,47.1,34.3,False,Ovalle,67.3,4,True
42,Punitaqui,Región de Coquimbo,CL PUN,19.6,34.1,False,Ovalle,67.3,4,True
43,Lago Ranco,Región de Los Ríos,CL RNC,66.7,78.6,True,Lago Ranco,66.7,3,True
43,La Unión,Región de Los Ríos,CL LUN,60.9,57.6,False,Lago Ranco,66.7,3,True
43,Río Bueno,Región de Los Ríos,,,,False,Lago Ranco,66.7,3,True
44,Nacimiento,Región del Bío-Bío,CL NAC,65.9,51.8,True,Nacimiento,65.9,5,True
44,Santa Juana,Región del Bío-Bío,CL SJU,58.6,39.1,False,Nacimiento,65.9,5,True
44,Laja,Región del Bío-Bío,CL LAJ,53.3,42.6,False,Nacimiento,65.9,5,True
44,Curanilahue,Región del Bío-Bío,CL CRN,45.5,19.2,False,Nacimiento,65.9,5,True
44,Negrete,Región del Bío-Bío,CL NEG,23.3,31.5,False,Nacimiento,65.9,5,True
45,Renca,Región Metropolitana de Santiago,CL REN,65.0,77.1,True,Renca,65.0,2,True
45,Quilicura,Región Metropolitana de Santiago,CL QUI,64.9,90.6,False,Renca,65.0,2,True
46,Quirihue,Región de Ñuble,CL QRH,64.8,15.7,True,Quirihue,64.8,4,True
46,Ninhue,Región de Ñuble,CL NIN,31.2,6.5,False,Quirihue,64.8,4,True
46,Cobquecura,Región de Ñuble,CL CBQ,19.2,28.4,False,Quirihue,64.8,4,True
46,Treguaco,Región de Ñuble,CL TRE,18.8,14.1,False,Quirihue,64.8,4,True
47,Villa Alemana,Región de Valparaíso,CL VIA,64.3,39.5,True,Villa Alemana,64.3,1,True
48,Maipú,Región Metropolitana de Santiago,CL MAI,64.3,43.0,True,Maipú,64.3,1,True
49,Coronel,Región del Bío-Bío,CL CNL,64.0,66.6,True,Coronel,64.0,2,True
49,Lota,Región del Bío-Bío,CL LTA,49.6,11.6,False,Coronel,64.0,2,True
50,Linares,Región del Maule,CL LIN,63.9,42.8,True,Linares,63.9,6,True
50,San Javier,Región del Maule,CL SJV,53.1,31.3,False,Linares,63.9,6,True
50,Longaví,Región del Maule,CL LON,45.5,16.8,False,Linares,63.9,6,True
50,Colbún,Región del Maule,CL COB,33.7,79.2,False,Linares,63.9,6,True
50,Villa Alegre,Región del Maule,CL VAG,27.5,20.5,False,Linares,63.9,6,True
50,Yerbas Buenas,Región del Maule,CL YBU,16.3,43.0,False,Linares,63.9,6,True
51,La Ligua,Región de Valparaíso,CL LIG,63.5,53.1,True,La Ligua,63.5,5,True
51,Papudo,Región de Valparaíso,CL PAP,22.8,89.0,False,La Ligua,63.5,5,True
51,Petorca,Región de Valparaíso,CL PET,18.7,64.2,False,La Ligua,63.5,5,True
51,Cabildo,Región de Valparaíso,,,,False,La Ligua,63.5,5,True
51,Putaendo,Región de Valparaíso,CL PTO,45.3,25.8,False,La Ligua,63.5,5,True
52,Pichilemu,Región del Libertador Bernardo O'Higgins,CL PLM,63.3,53.7,True,Pichilemu,63.3,6,True
