municipio,fcm_dependency_pct_2023
ESTACIÓN CENTRAL,32.48
FLORIDA,85.91
FREIRE,78.01
FREIRINA,69.23
FRESIA,76.16
FRUTILLAR,39.92
FUTALEUFÚ,89.16
FUTRONO,62.86
GALVARINO,86.93
GENERAL LAGOS,93.51
GORBEA,81.30
GRANEROS,70.81
GUAITECAS,73.23
HIJUELAS,58.54
HUALAIHUÉ,72.03
HUALAÑÉ,68.53
HUALPÉN,49.32
HUALQUI,82.36
HUARA,68.51
HUASCO,56.46
HUECHURABA,8.75
ILLAPEL,74.18
INDEPENDENCIA,43.24
IQUIQUE,12.49
ISLA DE MAIPO,50.11
ISLA DE PASCUA,99.17
JUAN FERNÁNDEZ,96.42
LA CISTERNA,36.31
LA CRUZ,58.89
LA ESTRELLA,50.25
LA FLORIDA,45.65
LA GRANJA,77.75
LA HIGUERA,53.91
LA LIGUA,65.20
LA PINTANA,83.07
LA REINA,7.29
LA SERENA,31.25
LA UNIÓN,62.00
LAGO RANCO,45.74
LAGO VERDE,80.14
LAGUNA BLANCA,90.53
LAJA,70.90
LAMPA,18.52
LANCO,80.05
LAS CABRAS,33.91
LAS CONDES,2.42
LAUTARO,52.40
LEBU,85.75
LICANTÉN,80.88
LIMACHE,64.16
LINARES,67.99
LITUECHE,54.18
LLAILLAY,69.52
LLANQUIHUE,54.85
LO BARNECHEA,2.17
LO ESPEJO,80.56
LO PRADO,81.27
LOLOL,71.35
LONCOCHE,75.41
LONGAVÍ,81.79
LONQUIMAY,89.63
LOS ÁLAMOS,83.60
LOS ANDES,57.26
LOS ÁNGELES,52.93
LOS LAGOS,67.53
LOS MUERMOS,74.15
LOS SAUCES,83.00
LOS VILOS,75.90
LOTA,83.33
LUMACO,89.31
MACHALÍ,27.05
MACUL,22.73
MÁFIL,80.00
MAIPÚ,62.94
MALLOA,70.10
MARCHIHUE,33.31
MARÍA ELENA,29.24
MARÍA PINTO,41.89
MARIQUINA,74.85
MAULE,76.66
MAULLÍN,75.61
MEJILLONES,22.79
MELIPEUCO,91.88
MELIPILLA,68.01
MOLINA,70.87
MONTE PATRIA,82.77
MOSTAZAL,18.89
MULCHÉN,70.21
NACIMIENTO,65.84
NANCAGUA,61.27
NATALES,50.69
NAVIDAD,90.68
NEGRETE,76.53
NINHUE,90.66
NOGALES,61.93
NUEVA IMPERIAL,83.81
ÑIQUÉN,79.85
ÑUÑOA,9.05
O´HIGGINS,93.97
OLIVAR,56.51
OLLAGÜE,68.04
OLMUÉ,54.15
OSORNO,37.97
OVALLE,65.17
PADRE HURTADO,45.98
PADRE LAS CASAS,74.82
PAIGUANO,62.63
PAILLACO,67.22
PAINE,32.93
PALENA,90.09
PALMILLA,56.55
PANGUIPULLI,66.94
PANQUEHUE,54.24
PAPUDO,34.53
PAREDONES,87.33
PARRAL,71.11
PEDRO AGUIRRE CERDA,69.23
PELARCO,32.18
PELLUHUE,88.61
PEMUCO,65.35
PENCAHUE,66.42
PENCO,65.76
PEÑAFLOR,60.23
PEÑALOLÉN,36.35
PERALILLO,56.20
PERQUENCO,82.23
PETORCA,61.83
PEUMO,71.80
PICA,28.36
PICHIDEGUA,70.13
PICHILEMU,74.88
PINTO,66.21
PIRQUE,23.12
PITRUFQUÉN,80.15
PLACILLA,73.77
PORTEZUELO,90.96
PORVENIR,58.09
POZO ALMONTE,39.51
PRIMAVERA,85.86
PROVIDENCIA,3.53
PUCHUNCAVÍ,26.65
PUCÓN,17.20
PUDAHUEL,29.21
PUENTE ALTO,74.85
PUERTO MONTT,38.53
PUERTO OCTAY,55.74
PUERTO VARAS,17.33
PUMANQUE,78.08
PUNITAQUI,76.20
PUNTA ARENAS,30.27
PUQUELDÓN,82.55
PURÉN,88.44
PURRANQUE,61.38
PUTAENDO,77.54
PUTRE,88.70
PUYEHUE,55.65
QUEILÉN,84.37
QUELLÓN,64.32
QUEMCHI,78.19
QUILACO,81.56
QUILICURA,19.51
QUILLECO,80.79
QUILLÓN,86.65
QUILLOTA,56.99
QUILPUÉ,60.96
QUINCHAO,78.08
QUINTA DE TILCOCO,71.87
QUINTA NORMAL,47.24
QUINTERO,77.45
QUIRIHUE,84.90
RANCAGUA,45.48
RÁNQUIL,67.96
RAUCO,70.67
RECOLETA,22.37
RENAICO,71.74
RENCA,29.37
RENGO,60.39
REQUÍNOA,38.57
RETIRO,75.61
RINCONADA,30.13
RÍO BUENO,64.47
RÍO CLARO,42.92
RÍO HURTADO,82.01
RÍO IBÁÑEZ,84.87
RÍO NEGRO,71.14
RÍO VERDE,62.84
ROMERAL,46.88
SAAVEDRA,91.87
SAGRADA FAMILIA,44.30
SALAMANCA,50.09
SAN ANTONIO,51.06
SAN BERNARDO,39.22
SAN CARLOS,74.93
SAN CLEMENTE,71.01
SAN ESTEBAN,67.75
SAN FABIÁN,76.02
SAN FELIPE,60.98
SAN FERNANDO,46.22
SAN GREGORIO,76.32
SAN IGNACIO,85.71
SAN JAVIER,73.52
SAN JOAQUÍN,25.54
SAN JOSÉ DE MAIPO,37.02
SAN JUAN DE LA COSTA,91.68
SAN MIGUEL,15.39
SAN NICOLÁS,59.10
SAN PABLO,67.37
SAN PEDRO,70.90
SAN PEDRO DE ATACAMA,67.83
SAN PEDRO DE LA PAZ,37.50
SAN RAFAEL,69.73
SAN RAMÓN,75.91
SAN ROSENDO,93.43
SAN VICENTE,66.47
SANTA BÁRBARA,73.66
SANTA CRUZ,49.89
SANTA JUANA,75.52
SANTA MARÍA,65.59
SANTIAGO,8.71
SANTO DOMINGO,11.41
SIERRA GORDA,21.08
TALAGANTE,56.24
TALCA,46.33
TALCAHUANO,29.59
TALTAL,42.04
TEMUCO,45.26
TENO,54.50
TEODORO SCHMIDT,90.18
TIERRA AMARILLA,26.51
TILTIL,44.22
TIMAUKEL,94.55
TIRÚA,91.43
TOCOPILLA,63.28
TOLTÉN,90.34
TOMÉ,79.55
TORRES DEL PAINE,79.09
TORTEL,95.91
TRAIGUÉN,80.72
TREHUACO,87.86
TUCAPEL,71.00
VALDIVIA,56.98
VALLENAR,59.75
VALPARAÍSO,50.82
VICHUQUÉN,42.86
VICTORIA,73.12
VICUÑA,73.93
VILCÚN,76.30
VILLA ALEGRE,80.52
VILLA ALEMANA,68.43
VILLARRICA,38.35
VIÑA DEL MAR,10.28
VITACURA,2.81
YERBAS BUENAS,68.87
YUMBEL,81.25
YUNGAY,79.35
ZAPALLAR,8.77
