codigo_comuna,municipio,total_income_2023_mclp,ipp_percapita_2023_mclp,fcm_dependency_pct_2023,ipp_share_total_pct_2023
11202,CISNES,7513856,497.03,45.04,38.8
11203,GUAITECAS,3308255,405.5,73.23,19.71
11301,COCHRANE,3730783,94.8,86.28,9.48
11302,O´HIGGINS,2872607,181.72,93.97,4.25
11303,TORTEL,2470742,134.29,95.91,3.16
11401,CHILE CHICO,5094387,137.22,84.28,13.89
11402,RÍO IBÁÑEZ,3943232,151.17,84.87,10.39
12101,PUNTA ARENAS,67045081,161.92,30.27,35
12102,LAGUNA BLANCA,2015723,681.92,90.53,8.53
12103,RÍO VERDE,3213851,4847.82,62.84,30.92
12104,SAN GREGORIO,2473686,771.89,76.32,20.53
12201,CABO DE HORNOS,4841894,209.03,89.4,8.52
12301,PORVENIR,5307629,233.05,58.09,33.24
12302,PRIMAVERA,2413136,409.88,85.86,11.53
12303,TIMAUKEL,2822118,352.48,94.55,3.47
12401,NATALES,16098571,194.17,50.69,29.49
12402,TORRES DEL PAINE,2436858,408.94,79.09,17.94
13101,SANTIAGO,201975940,226.13,8.71,60.02
13102,CERRILLOS,30183510,222.74,21.49,66.46
13103,CERRO NAVIA,40148469,22.21,87.19,7.78
13104,CONCHALÍ,51837319,74.6,56.77,19.81
13105,EL BOSQUE,37765629,40.98,77.65,18.5
13106,ESTACIÓN CENTRAL,42968135,100.68,32.48,51.52
13107,HUECHURABA,53164370,357.98,8.75,78.86
13108,INDEPENDENCIA,27940024,85.37,43.24,46.41
13109,LA CISTERNA,24153037,114.84,36.31,48.2
13110,LA FLORIDA,155867778,111.06,45.65,28.99
13111,LA GRANJA,28512474,42.14,77.75,17.77
13112,LA PINTANA,42199812,32.4,83.07,14.52
13113,LA REINA,48365723,307.35,7.29,63.35
13114,LAS CONDES,397028708,604.89,2.42,51.98
13115,LO BARNECHEA,135673235,868.06,2.17,83.04
13116,LO ESPEJO,28013346,45.71,80.56,16.58
13117,LO PRADO,50060053,34.58,81.27,7.11
13118,MACUL,52630115,132.52,22.73,34.68
13119,MAIPÚ,166098706,68.07,62.94,24.03
13120,ÑUÑOA,77673926,165.53,9.05,56.12
13121,PEDRO AGUIRRE CERDA,23421862,56.1,69.23,25.27
13122,PEÑALOLÉN,117798199,122.66,36.35,28.31
13123,PROVIDENCIA,175494453,570.35,3.53,52.92
13124,PUDAHUEL,114481974,190.28,29.21,43.24
13125,QUILICURA,69550509,179.92,19.51,70.2
13126,QUINTA NORMAL,43805915,85.36,47.24,27.47
13127,RECOLETA,42940180,141.63,22.37,64.67
13128,RENCA,72644801,147.58,29.37,33.09
13129,SAN JOAQUÍN,47651941,168.53,25.54,36.58
13130,SAN MIGUEL,41763246,121.66,15.39,41.52
13131,SAN RAMÓN,20362080,48.07,75.91,19.95
13132,VITACURA,137032883,862.48,2.81,61.3
13201,PUENTE ALTO,127416955,41.71,74.85,21.75
13202,PIRQUE,12467310,212.96,23.12,55.36
13203,SAN JOSÉ DE MAIPO,7836018,176.53,37.02,43.55
13301,COLINA,80605292,216.91,12.8,52.1
13302,LAMPA,49895580,173.37,18.52,48.39
13303,TILTIL,9967159,131.12,44.22,29.29
13401,SAN BERNARDO,120528456,115.06,39.22,32.99
13402,BUIN,39620969,106.94,30.11,31.32
13403,CALERA DE TANGO,14553423,170.15,28.73,34.93
13404,PAINE,21431603,122.99,32.93,49.96
13501,MELIPILLA,57839080,56.25,68.01,14.32
13502,ALHUÉ,21128418,979.27,20.87,35.95
13503,CURACAVÍ,10966436,135.59,41.14,46.9
13504,MARÍA PINTO,12370959,204.52,41.89,25.63
13505,SAN PEDRO,4322447,86.21,70.9,24.76
13601,TALAGANTE,18335731,75.22,56.24,34.73
13602,EL MONTE,10723209,87.55,54.94,34.06
13603,ISLA DE MAIPO,9944289,94.48,50.11,39.79
13604,PADRE HURTADO,20185341,104.32,45.98,41.31
13605,PEÑAFLOR,21711693,66.6,60.23,32.36
14101,VALDIVIA,54497643,109.41,56.98,36.31
14102,CORRAL,4166117,64.2,88.47,8.37
14103,LANCO,6340514,56.6,80.05,16.03
14104,LOS LAGOS,7539992,81.37,67.53,22.15
14105,MÁFIL,4112239,78.14,80,14.03
14106,MARIQUINA,8638313,71.75,74.85,19.79
14107,PAILLACO,8358367,85.41,67.22,21.37
14108,PANGUIPULLI,30874096,133.18,66.94,15.61
14201,LA UNIÓN,12833791,98.01,62,30.3
14202,FUTRONO,7479757,128.08,62.86,26.05
14203,LAGO RANCO,10304744,328.88,45.74,32.81
14204,RÍO BUENO,9645115,84.98,64.47,29.06
15101,ARICA,59040310,88.68,55.63,38.33
15102,CAMARONES,3788740,689.89,70.34,22.65
15201,PUTRE,3838124,138.15,88.7,9.21
15202,GENERAL LAGOS,2324296,147.31,93.51,5.1
16101,CHILLÁN,53872403,113.83,49.43,42.86
16102,BULNES,7528646,74.58,72.81,22.52
16103,CHILLÁN VIEJO,10694189,87.09,64.3,28.65
16104,EL CARMEN,5737797,84.01,77.69,17.91
16105,PEMUCO,4424605,148.98,65.35,28.96
16106,PINTO,6118385,122.83,66.21,24.31
16107,QUILLÓN,12648863,78.29,86.65,11.87
16108,SAN IGNACIO,6606724,46.64,85.71,11.73
16109,YUNGAY,8567121,82.63,79.35,18.12
16201,QUIRIHUE,5589828,56.73,84.9,12.42
16202,COBQUECURA,5337050,113.37,85.41,11.13
16203,COELEMU,7082328,69.61,80.23,16.61
16204,NINHUE,4245116,54.74,90.66,6.92
16205,PORTEZUELO,4431771,55.74,90.96,6.15
16206,RÁNQUIL,4939263,184.59,67.96,23.51
16207,TREHUACO,4432665,70.22,87.86,9.11
16301,SAN CARLOS,16665138,65.1,74.93,22.22
16302,COIHUECO,11225566,54.06,83.33,13.92
16303,ÑIQUÉN,4973856,76.72,79.85,17.8
16304,SAN FABIÁN,3273210,136.98,76.02,19.92
16305,SAN NICOLÁS,7311720,159.88,59.1,27.14
