codigo_comuna,municipio,staff_planta_2023,staff_contrata_2023,professionalization_pct_2023
10305,RÍO NEGRO,27,24,50.98
10306,SAN JUAN DE LA COSTA,21,26,40.43
10307,SAN PABLO,41,40,44.44
10401,CHAITÉN,30,18,33.33
10402,FUTALEUFÚ,17,12,44.83
10403,HUALAIHUÉ,42,17,42.37
10404,PALENA,21,11,62.5
11101,COYHAIQUE,103,63,53.61
11102,LAGO VERDE,,,
11201,AYSÉN,86,52,42.75
11202,CISNES,31,11,47.62
11203,GUAITECAS,20,25,35.56
11301,COCHRANE,11,8,73.68
11302,O´HIGGINS,10,7,58.82
11303,TORTEL,10,12,54.55
11401,CHILE CHICO,18,15,51.52
11402,RÍO IBÁÑEZ,20,15,51.43
12101,PUNTA ARENAS,295,158,41.06
12102,LAGUNA BLANCA,17,6,43.48
12103,RÍO VERDE,21,14,51.43
12104,SAN GREGORIO,16,8,91.67
12201,CABO DE HORNOS,17,14,38.71
12301,PORVENIR,48,25,39.73
12302,PRIMAVERA,17,5,54.55
12303,TIMAUKEL,18,3,57.14
12401,NATALES,41,34,45.33
12402,TORRES DEL PAINE,18,5,34.78
13101,SANTIAGO,1481,1129,20.92
13102,CERRILLOS,197,52,31.33
13103,CERRO NAVIA,252,161,53.75
13104,CONCHALÍ,220,142,25.41
13105,EL BOSQUE,295,172,34.05
13106,ESTACIÓN CENTRAL,352,235,25.38
13107,HUECHURABA,313,134,42.95
13108,INDEPENDENCIA,194,129,27.24
13109,LA CISTERNA,,,
13110,LA FLORIDA,507,283,36.2
13111,LA GRANJA,240,125,27.67
13112,LA PINTANA,264,115,37.99
13113,LA REINA,301,164,27.31
13114,LAS CONDES,692,418,41.8
13115,LO BARNECHEA,256,271,58.63
13116,LO ESPEJO,106,105,45.97
13117,LO PRADO,45,154,39.7
13118,MACUL,172,95,48.69
13119,MAIPÚ,476,317,21.56
13120,ÑUÑOA,404,160,41.84
13121,PEDRO AGUIRRE CERDA,168,131,30.43
13122,PEÑALOLÉN,325,214,33.58
13123,PROVIDENCIA,459,388,61.39
13124,PUDAHUEL,261,148,36.67
13125,QUILICURA,289,179,29.7
13126,QUINTA NORMAL,173,128,27.57
13127,RECOLETA,294,134,42.06
13128,RENCA,370,163,29.27
13129,SAN JOAQUÍN,217,203,30.95
13130,SAN MIGUEL,225,111,28.57
13131,SAN RAMÓN,290,94,17.97
13132,VITACURA,418,254,39.73
13201,PUENTE ALTO,613,314,37.22
13202,PIRQUE,70,62,33.33
13203,SAN JOSÉ DE MAIPO,70,39,31.19
13301,COLINA,138,74,26.89
13302,LAMPA,,,
13303,TILTIL,57,50,21.5
13401,SAN BERNARDO,258,153,29.93
13402,BUIN,133,95,30.26
13403,CALERA DE TANGO,53,98,30.46
13404,PAINE,137,113,25.6
13501,MELIPILLA,207,73,31.79
13502,ALHUÉ,,15,
13503,CURACAVÍ,70,49,26.05
13504,MARÍA PINTO,49,37,33.72
13505,SAN PEDRO,102,20,18.85
13601,TALAGANTE,126,88,26.17
13602,EL MONTE,64,64,34.38
13603,ISLA DE MAIPO,46,63,31.19
13604,PADRE HURTADO,91,84,34.29
13605,PEÑAFLOR,108,128,48.31
14101,VALDIVIA,372,273,41.09
14102,CORRAL,28,6,44.12
14103,LANCO,45,44,40.45
14104,LOS LAGOS,70,24,38.3
14105,MÁFIL,30,23,37.74
14106,MARIQUINA,64,43,33.64
14107,PAILLACO,27,47,56.76
14108,PANGUIPULLI,107,69,45.45
14201,LA UNIÓN,,,
14202,FUTRONO,49,32,39.51
14203,LAGO RANCO,50,35,52.94
14204,RÍO BUENO,65,39,43.27
15101,ARICA,401,409,23.09
15102,CAMARONES,,,
15201,PUTRE,14,11,40
15202,GENERAL LAGOS,13,4,47.06
16101,CHILLÁN,241,227,34.19
16102,BULNES,52,40,43.48
16103,CHILLÁN VIEJO,34,75,67.89
16104,EL CARMEN,61,40,28.71
16105,PEMUCO,30,31,50.82
16106,PINTO,41,27,38.24
16107,QUILLÓN,60,76,29.41
16108,SAN IGNACIO,,,
16109,YUNGAY,58,27,48.24
16201,QUIRIHUE,43,24,91.04
16202,COBQUECURA,,,
16203,COELEMU,54,26,32.5
16204,NINHUE,23,25,43.75
16205,PORTEZUELO,34,30,100
16206,RÁNQUIL,30,15,51.11
16207,TREHUACO,33,41,32.43
16301,SAN CARLOS,35,51,61.63
16302,COIHUECO,64,22,38.37
16303,ÑIQUÉN,30,25,45.45
16304,SAN FABIÁN,25,17,59.52
16305,SAN NICOLÁS,33,35,41.18
